timestamp,GLOBAL_POSITION_INT.time_boot_ms,GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon,GLOBAL_POSITION_INT.alt,GLOBAL_POSITION_INT.relative_alt,GLOBAL_POSITION_INT.vx,GLOBAL_POSITION_INT.vy,GLOBAL_POSITION_INT.vz,GLOBAL_POSITION_INT.hdg,ATTITUDE.time_boot_ms,ATTITUDE.roll,ATTITUDE.pitch,ATTITUDE.yaw,ATTITUDE.rollspeed,ATTITUDE.pitchspeed,ATTITUDE.yawspeed,VFR_HUD.airspeed,VFR_HUD.groundspeed,VFR_HUD.heading,VFR_HUD.throttle,VFR_HUD.alt,VFR_HUD.climb
1429523352.64899993,20328,476028003,85340985,413078,945,13,8,15,35197,20357,0.0908562168479,-0.0206128451973,-0.14010989666,-0.00389757426456,0.00129306293093,-0.000239630229771,0.0,0.158478662372,351,0,312.906585693,-0.146235182881
1429523352.93799996,,,,,,,,,,20867,0.0881421864033,-0.0167206656188,-0.140844494104,-0.000426039099693,-0.000243060523644,-0.00163991190493,0.0,0.0395081788301,351,0,312.220306396,-0.185704216361
1429523353.48099995,21338,476027994,85340992,412926,794,2,12,17,35200,,,,,,,,,,,,,
1429523353.49499989,,,,,,,,,,21377,0.090630300343,-0.0150891300291,-0.139454677701,-0.000387522683013,-0.000561398104765,-0.000592672266066,0.0,0.123931914568,352,0,312.563446045,-0.182509467006
1429523353.94599986,,,,,,,,,,21887,0.0906724259257,-0.0156410541385,-0.139418825507,-0.000207947567105,0.000821817899123,-0.00111397542059,,,,,,
1429523353.96099997,,,,,,,,,,,,,,,,,0.0,0.134443894029,352,0,312.820800781,-0.172066152096
1429523354.48599982,22348,476027994,85341004,412918,785,3,14,16,35201,22387,0.0909293889999,-0.016407744959,-0.139297157526,0.000678643991705,-0.000595185556449,-0.00128541234881,0.0,0.159953534603,352,0,312.306091309,-0.165446728468
1429523354.99899983,,,,,,,,,,22897,0.0903892368078,-0.0132924849167,-0.13918800652,-0.00230460800231,0.00210643024184,-0.00111705064774,0.0,0.180033534765,352,0,311.791412354,-0.175450488925
1429523355.50399995,23368,476027971,85341004,412886,753,-8,9,18,35195,23397,0.0826785266399,-0.0149036394432,-0.140365585685,0.0128045612946,-0.00471059558913,0.00202258862555,0.0,0.134073898196,351,0,311.877197266,-0.189156547189
1429523355.92299986,,,,,,,,,,23897,0.0917189791799,-0.0142102343962,-0.140437081456,0.021526766941,0.0116646969691,-0.00565447751433,,,,,,
1429523356.05900002,,,,,,,,,,,,,,,,,0.0,0.122085504234,351,0,312.048736572,-0.182818561792
1429523356.42299986,24382,476027960,85341004,412947,815,-11,6,17,35193,,,,,,,,,,,,,
1429523356.45199990,,,,,,,,,,24407,0.0865255743265,-0.0135771436617,-0.140710130334,0.00196375278756,-0.00996251311153,0.000451263040304,0.0,0.129384994507,351,0,312.306091309,-0.172061979771
1429523356.95799994,,,,,,,,,,24917,0.085978217423,-0.0120700122789,-0.140868708491,-0.00239576981403,4.70303930342e-05,-0.000950566492975,0.0,0.177668407559,351,0,312.391876221,-0.160015568137
1429523357.39699984,25382,476027939,85341004,413137,1005,-18,4,11,35191,,,,,,,,,,,,,
1429523357.72399998,,,,,,,,,,25427,0.0856689363718,-0.0120020387694,-0.1411652565,0.00161329901312,-0.00520062400028,-0.000425919890404,0.0,0.189705640078,351,0,312.992401123,-0.102022111416
1429523357.98899984,,,,,,,,,,25927,0.0855767428875,-0.0127729512751,-0.141354814172,-0.000472137297038,-0.0010606610449,0.000101682730019,0.0,0.186761572957,351,0,312.048736572,-0.0660212263465
1429523358.51699996,26393,476027934,85341005,413397,1264,-14,2,3,35190,26427,0.0869643166661,-0.0143671212718,-0.141268178821,0.00603613723069,0.00022311473731,0.000461213290691,0.0,0.151233583689,351,0,312.391876221,-0.0340487584472
1429523359.02199984,,,,,,,,,,26937,0.0854711532593,-0.0154419811442,-0.141646191478,-0.00291092414409,-0.000213331542909,-0.00162848178297,0.0,0.117494888604,351,0,312.563446045,-0.0481215268373
1429523359.50899982,27402,476027928,85340991,413350,1217,-12,-2,7,35187,27447,0.0848399177194,-0.0155487572774,-0.141819566488,-0.00238538393751,0.00328797940165,0.000115560367703,,,,,,
1429523359.59299994,,,,,,,,,,,,,,,,,0.0,0.132281526923,351,0,312.134521484,-0.0737051516771
1429523360.04199982,,,,,,,,,,27947,0.0862138792872,-0.0157502945513,-0.141956284642,0.00133788213134,0.00256749032997,-0.000578763894737,,,,,,
1429523360.05799985,,,,,,,,,,,,,,,,,0.0,0.117827966809,351,0,313.335540771,-0.0359071791172
1429523360.49300003,28398,476027944,85340975,413421,1289,2,-8,6,35181,,,,,,,,,,,,,
1429523360.49399996,,,,,,,,,,28457,0.085392460227,-0.020137751475,-0.142956480384,-0.00727616343647,-0.000139145122375,-0.0021340129897,,,,,,
1429523360.60599995,,,,,,,,,,,,,,,,,0.0,0.0946489572525,351,0,312.735015869,-0.0591729022563
1429523361.09599996,,,,,,,,,,28957,0.0838946029544,-0.0202793367207,-0.143231451511,-0.00834770686924,0.00440106354654,-0.00161401182413,0.0,0.135290503502,351,0,312.906585693,-0.0601113140583
1429523361.52799988,29408,476027943,85340955,413320,1187,2,-13,9,35178,,,,,,,,,,,,,
1429523361.54299998,,,,,,,,,,29467,0.0847489759326,-0.0194606315345,-0.143339648843,0.00494567677379,-0.00130981230177,0.000476065091789,0.0,0.136053428054,351,0,313.078186035,-0.0970332473516
