timestamp panPosition tiltPosition panCtrlType panSetValue tiltCtrlType tiltSetValue local.lat local.lon local.elev object.lat object.lon object.elev object.x object.y object.z estObject.x estObject.y estObject.z estObject.lat estObject.lon estObject.elev curMode
1.432488287229e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602562 8.534069 405.799 4.43688788943354 -30.9107270871014 -10.2010765290394 4.47052893342679 -31.0779260956921 -10.1426354339132 47.6025604962744 8.5340694473432 405.857441933079 8 
1.43248828733e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602562 8.534069 405.799 4.43688788943354 -30.9107270871014 -10.2010765290394 4.4673328196898 -31.0016041768823 -10.1175414327733 47.6025611826875 8.53406940484307 405.882535559711 8 
1.432488287433e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602562 8.534069 405.799 4.43688788943354 -30.9107270871014 -10.2010765290394 4.46587198901301 -30.9231568665797 -10.0917736950271 47.6025618882156 8.53406938541808 405.908302915757 8 
1.432488287534e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602562 8.534069 405.799 4.43688788943354 -30.9107270871014 -10.2010765290394 4.46627384305581 -30.8463315648951 -10.0665499464666 47.6025625791559 8.53406939076232 405.933526291395 8 
1.432488287634e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602562 8.534069 405.799 4.43688788943354 -30.9107270871014 -10.2010765290394 4.46845436605953 -30.7700348717151 -10.0414966945167 47.602563265342 8.53406941975861 405.958579174762 8 
1.432488287739e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602562 8.534069 405.799 4.43688788943354 -30.9107270871014 -10.2010765290394 4.47257898467969 -30.6904022918701 -10.0153307146875 47.60256398153 8.53406947460674 405.984744774043 8 
1.43248828784e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602562 8.534069 405.799 4.43688788943354 -30.9107270871014 -10.2010765290394 4.47846866664929 -30.6130047902927 -9.98986722089304 47.6025646776164 8.53406955292598 406.010207900239 8 
1.432488287943e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602562 8.534069 405.799 4.43688788943354 -30.9107270871014 -10.2010765290394 4.48625014680872 -30.5350534676988 -9.96417548163604 47.6025653786836 8.53406965640162 406.035899270085 8 
1.432488288046e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602562 8.534069 405.799 4.43688788943354 -30.9107270871014 -10.2010765290394 4.49596144304056 -30.4575356156746 -9.93856149083342 47.6025660758524 8.5340697855392 406.061512896662 8 
1.432488288148e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602817 8.534092 412.1 6.16649826527851 -2.55736177970977 -3.90000348884795 5.52027901042262 -12.3406639020368 -6.97505571391993 47.6027290125326 8.53408340670802 409.024958621481 8 
1.432488288249e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602817 8.534092 412.1 6.16649826527851 -2.55736177970977 -3.90000348884795 5.52513334789155 -12.3058984872399 -6.97782376356892 47.6027293252 8.53408347125974 409.022190509905 8 
1.43248828835e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602817 8.534092 412.1 6.16649826527851 -2.55736177970977 -3.90000348884795 5.53187307967833 -12.2717652956743 -6.9805629978782 47.6027296321814 8.53408356088276 409.019451214153 8 
1.432488288452e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602817 8.534092 412.1 6.16649826527851 -2.55736177970977 -3.90000348884795 5.54068339429769 -12.2373312798615 -6.9833570469466 47.6027299418683 8.53408367803966 409.016657107682 8 
1.432488288556e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602817 8.534092 412.1 6.16649826527851 -2.55736177970977 -3.90000348884795 5.55168038095329 -12.2026490322583 -6.98621260883695 47.6027302537877 8.53408382427416 409.013801488279 8 
1.432488288658e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602817 8.534092 412.1 6.16649826527851 -2.55736177970977 -3.90000348884795 5.56430908519242 -12.1695768022229 -6.98898642702168 47.6027305512271 8.53408399220664 409.01102761781 8 
1.432488288759e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602817 8.534092 412.1 6.16649826527851 -2.55736177970977 -3.90000348884795 5.57877460375721 -12.1372485419254 -6.99175712855677 47.6027308419756 8.5340841845644 409.008256868535 8 
1.432488288861e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602817 8.534092 412.1 6.16649826527851 -2.55736177970977 -3.90000348884795 5.5951055963119 -12.1056144934331 -6.99453786351659 47.6027311264805 8.53408440172858 409.00547608695 8 
1.432488288963e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602817 8.534092 412.1 6.16649826527851 -2.55736177970977 -3.90000348884795 5.61321476166726 -12.0748834536243 -6.99731963735963 47.6027314028641 8.53408464253826 409.002694270595 8 
1.432488289066e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602816 8.53409 412 6.01609588899136 -2.66855167932917 -4.00000338998633 5.91148667505851 -4.17098320081217 -5.94405762090485 47.6028024876731 8.53408860894587 410.05594647718 8 
1.432488289167e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602816 8.53409 412 6.01609588899136 -2.66855167932917 -4.00000338998633 5.90746134825683 -4.1688790687683 -5.95064343282716 47.6028025065969 8.53408855541855 410.049360662273 8 
1.432488289272e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602816 8.53409 412 6.01609588899136 -2.66855167932917 -4.00000338998633 5.90377533617985 -4.16573492537878 -5.95749179726417 47.6028025348741 8.53408850640333 410.042512293056 8 
1.432488289374e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602816 8.53409 412 6.01609588899136 -2.66855167932917 -4.00000338998633 5.90092304268003 -4.16184934778861 -5.9641236962266 47.6028025698196 8.53408846847464 410.035880387674 8 
1.432488289475e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602816 8.53409 412 6.01609588899136 -2.66855167932917 -4.00000338998633 5.89894983325037 -4.15732099005672 -5.97075278818801 47.602802610546 8.53408844223571 410.029251290887 8 
1.432488289577e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602816 8.53409 412 6.01609588899136 -2.66855167932917 -4.00000338998633 5.89799207523738 -4.1523572643536 -5.97737313275086 47.6028026551879 8.53408842949992 410.022630943019 8 
1.432488289681e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602816 8.53409 412 6.01609588899136 -2.66855167932917 -4.00000338998633 5.89813857660429 -4.14704177637613 -5.9841718197976 47.6028027029934 8.5340884314482 410.015832250295 8 
1.432488289785e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602816 8.53409 412 6.01609588899136 -2.66855167932917 -4.00000338998633 5.89949101831276 -4.14173342545069 -5.99100386446119 47.6028027507347 8.53408844943266 410.009000203709 8 
1.432488289886e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602816 8.53409 412 6.01609588899136 -2.66855167932917 -4.00000338998633 5.90193175958804 -4.13693303587813 -5.99755710211576 47.6028027939076 8.53408848188896 410.002446966715 8 
1.432488289988e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602816 8.53409 412 6.01609588899136 -2.66855167932917 -4.00000338998633 5.90545480796591 -4.1325812971045 -6.00422059615952 47.6028028330455 8.5340885287374 409.995783472346 8 
1.432488290091e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.86340627254113 -2.90387807031139 -5.38548708864834 47.6028138835567 8.5340879695991 410.61451626376 8 
1.432488290193e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.85584896612329 -2.91208976589225 -5.39123165695169 47.6028138097038 8.53408786910454 410.608771691674 8 
1.432488290298e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.84687662748434 -2.91933909221321 -5.39710496560478 47.6028137445061 8.53408774979338 410.602898376803 8 
1.432488290402e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.83685153520118 -2.9252170800708 -5.40295639681282 47.6028136916416 8.53408761648308 410.597046940613 8 
1.432488290503e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.82632255079859 -2.9294576870101 -5.40860969690308 47.6028136535032 8.53408747647221 410.591393632204 8 
1.432488290607e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.81483916233431 -2.93228731857377 -5.41444138231456 47.6028136280547 8.53408732377001 410.585561937549 8 
1.432488290711e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.80285469278349 -2.93345431942509 -5.42031682261615 47.6028136175592 8.53408716440464 410.579686486515 8 
1.432488290813e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.7910687423344 -2.93289620272882 -5.42601427026861 47.6028136225787 8.53408700767912 410.573989028464 8 
1.432488290918e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.7789912522829 -2.93062069122008 -5.43189156173862 47.6028136430439 8.53408684707683 410.568111724691 8 
1.432488291021e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.76739702129239 -2.92657056553733 -5.43770529642595 47.6028136794694 8.53408669290078 410.562297978117 8 
1.432488291124e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.75646013578538 -2.92104617540476 -5.44345558652262 47.6028137291538 8.53408654746591 410.556547674505 8 
1.432488291225e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.74638326075759 -2.91412645443238 -5.44914086134027 47.6028137913873 8.53408641346718 410.55086238685 8 
1.432488291327e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.73721497097078 -2.90586719585866 -5.45483045555092 47.6028138656681 8.53408629155053 410.545172781468 8 
1.432488291431e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.72893750741873 -2.8961742634043 -5.46065731670528 47.6028139528428 8.5340861814798 410.539345908 8 
1.432488291531e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.7221585373583 -2.88568818420672 -5.46631504838056 47.6028140471508 8.53408609133555 410.533688165034 8 
1.432488291635e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.7165799619594 -2.87401286322832 -5.47213001718018 47.6028141521544 8.53408601715376 410.527873186847 8 
1.432488291739e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.71253682981105 -2.86160278664117 -5.4779454347479 47.6028142637661 8.53408596338978 410.522057760606 8 
